artist,degree,weighted_degree,total_certifs,max_cert_level,avg_cert_level,collab_rate,annee_median,singles_rate,log_listeners,log_playcount,n_tags,has_lastfm,genre_rap_hiphop,genre_pop,genre_rock,genre_electronic,genre_rnb_soul,genre_chanson_fr,genre_metal,genre_jazz,genre_reggae_latin,genre_classical
ASHH,24,16.686635000000003,3.0,5.0,2.3333333333333335,0.0,2017.0,0.6666666666666666,10.398488625955148,13.51161373408508,0,1,0,0,0,0,0,0,0,0,0,0
MADEINPARIS,31,22.342905,2.0,0.0,0.0,0.5,2022.5,1.0,10.556333436322548,14.125192107575431,2,1,1,0,0,0,0,0,0,0,0,0
YG PABLO,25,19.20624,2.0,5.0,2.5,0.5,2021.0,1.0,10.947766843877893,14.081157122095439,1,1,0,0,0,0,0,0,0,0,0,0
PNL,26,18.386109000000005,50.0,7.0,2.94,0.0,2016.0,0.94,12.134453113102051,17.13240151912299,5,1,1,0,0,0,0,0,0,0,0,0
AYA NAKAMURA,17,15.093814,40.0,5.0,2.1,0.225,2018.0,0.9,13.142499282490629,16.343784041420818,5,1,1,1,0,0,1,0,0,0,0,0
RONISIA,7,6.522151,6.0,2.0,0.3333333333333333,0.3333333333333333,2021.0,0.8333333333333334,10.321144701409654,13.358898460554922,5,1,0,1,0,0,1,0,0,0,0,0
WEJDENE,12,10.373071999999999,6.0,5.0,2.8333333333333335,0.0,2020.0,1.0,10.486512900336537,13.315415488650649,5,1,1,1,0,0,1,0,0,0,0,0
KALASH,6,2.881782,11.0,5.0,1.3636363636363635,0.2727272727272727,2017.0,0.7272727272727273,11.63177459880861,14.751199129336728,5,1,1,0,0,0,0,0,0,0,1,0
WALLACE CLEAVER,23,13.714185000000002,0.0,0.0,0.0,0.0,2015.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
THEODORT,29,23.323787,2.0,5.0,2.5,0.0,2024.0,1.0,10.379566439972283,13.652625679162279,3,1,1,0,0,0,0,0,0,0,0,0
B.B. JACQUES,15,8.425883999999998,0.0,0.0,0.0,0.0,2015.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
BRAMSITO,39,37.50839700000001,2.0,2.0,1.0,0.5,2018.5,1.0,10.158556036634712,12.92998663626027,5,1,0,1,0,0,1,0,0,0,0,0
BOUSS,36,28.969823,5.0,5.0,2.4,0.0,2024.0,1.0,10.279352190868002,14.116385224202038,4,1,0,0,0,0,0,0,0,0,0,0
DJADJA & DINAZ,10,5.958461,48.0,5.0,1.625,0.020833333333333332,2019.0,0.9166666666666666,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
KOFS,30,19.620830999999995,1.0,0.0,0.0,0.0,2017.0,1.0,10.921702904132209,13.319655645128105,1,1,0,0,0,0,0,0,0,0,0,0
LYNA MAHYEM,17,15.199199000000004,4.0,0.0,0.0,0.25,2020.5,0.75,9.810000709442663,12.302155254207218,2,1,1,0,0,0,0,0,0,0,0,0
DTF,19,13.499009000000001,7.0,5.0,2.5714285714285716,0.0,2017.0,0.5714285714285714,11.153188695567094,15.09619548355947,5,1,1,0,0,0,0,0,0,0,0,0
SOPRANO,20,18.687997000000003,21.0,6.0,2.0476190476190474,0.047619047619047616,2017.0,0.6190476190476191,11.831219183287397,14.70078893970781,5,1,1,0,0,0,0,0,0,0,0,0
RILES,17,10.620463999999998,10.0,5.0,1.2,0.0,2017.0,0.9,11.655119230673403,15.071726984972749,5,1,1,0,0,0,1,0,0,0,0,0
TAL,11,8.425394,5.0,2.0,0.8,0.0,2016.0,0.6,11.186682728151698,13.75460914784549,5,1,0,1,0,0,0,0,0,0,0,0
L'ALLEMAND,4,3.148879,0.0,0.0,0.0,0.0,2015.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
LA FAMAX,5,4.75268,1.0,0.0,0.0,0.0,2017.0,1.0,8.450412157725886,10.63021456635927,0,1,0,0,0,0,0,0,0,0,0,0
