source,target,weight,type
LETO,GHOST KILLER TRACK,0.596249,similar
LETO,GP EXPLORER,0.606156,similar
LETO,GUY2BEZBAR,2.0,similar
LETO,H.E.M,0.571944,similar
LETO,IKAZ BOI,1.074581,similar
LETO,JKSN,0.726502,similar
LETO,JOK'AIR,1.193104,similar
LETO,KEBLACK,1.162427,similar
LETO,KERCHAK,1.140318,similar
LETO,KULTURR,0.548931,similar
LETO,LA MANO 1.9,0.890102,similar
LETO,LA RVFLEUZE,0.614589,similar
LETO,RSKO,1.392471,similar
LETO,JUL,0.498205,similar
LETO,NAHIR,0.474133,similar
LETO,MHD,1.305812,similar
LETO,LOGOBI GT,0.536105,similar
LETO,MISTER V,0.539362,similar
LETO,NONO LA GRINTA,0.79758,similar
LETO,PONKO,0.582862,similar
LETO,R2,0.437538,similar
LETO,RK,0.695508,similar
LETO,SQUIDJI,0.474986,similar
LETO,THEODORT,0.651511,similar
LETO,TIMAL,0.628572,similar
LETO,TIMAR,0.617703,similar
LETO,VEN1,0.694481,similar
LETO,YG PABLO,0.668083,similar
LETO,ZKR,0.680698,similar
LETO,ZOKUSH,0.625224,similar
HORNET LA FRAPPE,LANDY,3.552301,collab+similar
HORNET LA FRAPPE,GLK,2.815898,collab+similar
HORNET LA FRAPPE,13 ORGANISE,0.45511,similar
HORNET LA FRAPPE,BENAB,1.461903,similar
HORNET LA FRAPPE,BOLEMVN,1.712139,similar
HORNET LA FRAPPE,BOUSS,0.526226,similar
HORNET LA FRAPPE,BRAMSITO,1.529463,similar
HORNET LA FRAPPE,BRULUX,0.748277,similar
HORNET LA FRAPPE,DADI,1.0,similar
HORNET LA FRAPPE,FRESH LADOUILLE,0.422371,similar
HORNET LA FRAPPE,GAZO,1.1982249999999999,similar
HORNET LA FRAPPE,GIANNI,0.67802,similar
HORNET LA FRAPPE,GRADUR,1.537017,similar
HORNET LA FRAPPE,HATIK,0.666216,similar
HORNET LA FRAPPE,HAYCE LEMSI,0.812282,similar
HORNET LA FRAPPE,HEUSS L'ENFOIRE,1.921504,similar
HORNET LA FRAPPE,SOSO MANESS,1.891547,similar
HORNET LA FRAPPE,LACRIM,1.6892230000000001,similar
HORNET LA FRAPPE,MAES,1.623338,similar
HORNET LA FRAPPE,NISKA,1.450412,similar
HORNET LA FRAPPE,JUL,1.393724,similar
HORNET LA FRAPPE,NIRO,1.3253460000000001,similar
HORNET LA FRAPPE,OBOY,1.382399,similar
HORNET LA FRAPPE,KAARIS,1.119275,similar
HORNET LA FRAPPE,RIM'K,1.406256,similar
HORNET LA FRAPPE,SADEK,1.602463,similar
HORNET LA FRAPPE,KALASH CRIMINEL,1.119548,similar
HORNET LA FRAPPE,BOOBA,0.589127,similar
HORNET LA FRAPPE,MISTER YOU,1.2112910000000001,similar
HORNET LA FRAPPE,NAHIR,1.368827,similar
HORNET LA FRAPPE,SCH,0.544467,similar
HORNET LA FRAPPE,S.PRI NOIR,1.106147,similar
HORNET LA FRAPPE,TIAKOLA,0.520714,similar
HORNET LA FRAPPE,4KEUS,0.497543,similar
HORNET LA FRAPPE,MOHA LA SQUALE,1.366282,similar
HORNET LA FRAPPE,DINOS,0.492551,similar
HORNET LA FRAPPE,KOFS,0.809407,similar
HORNET LA FRAPPE,L'ALGERINO,1.059926,similar
HORNET LA FRAPPE,LARTISTE,0.761425,similar
HORNET LA FRAPPE,LE CLASSICO ORGANISE,0.4798,similar
HORNET LA FRAPPE,LYNA MAHYEM,0.756574,similar
HORNET LA FRAPPE,PNL,0.600561,similar
HORNET LA FRAPPE,RK,0.932817,similar
HORNET LA FRAPPE,SASSO,0.857589,similar
HORNET LA FRAPPE,STILL FRESH,0.831659,similar
HORNET LA FRAPPE,TIMAL,0.836815,similar
HORNET LA FRAPPE,TK,0.453364,similar
HORNET LA FRAPPE,VEN1,0.532674,similar
HORNET LA FRAPPE,YL,0.747642,similar
HORNET LA FRAPPE,ZEG P,0.514427,similar
HORNET LA FRAPPE,ZKR,0.698539,similar
BOOBA,SDM,2.0,collab+similar
BOOBA,MAES,3.2034659999999997,collab+similar
BOOBA,NISKA,4.503565,collab+similar
BOOBA,DOSSEH,2.0,collab+similar
BOOBA,13 BLOCK,0.7393,similar
BOOBA,1PLIKE140,0.627904,similar
BOOBA,A2H,0.497378,similar
BOOBA,ALONZO,0.602897,similar
BOOBA,ATEYABA,1.253404,similar
BOOBA,KAARIS,2.0,similar
BOOBA,SCH,1.8086959999999999,similar
BOOBA,LACRIM,1.64537,similar
BOOBA,LUNATIC,1.716688,similar
BOOBA,LA FOUINE,1.6948539999999999,similar
BOOBA,GRADUR,1.487775,similar
BOOBA,GREEN MONTANA,1.28076,similar
BOOBA,GAZO,1.154012,similar
BOOBA,KALASH CRIMINEL,1.276319,similar
BOOBA,DINOS,1.246467,similar
BOOBA,NIRO,1.275644,similar
BOOBA,DAMSO,1.1451159999999998,similar
BOOBA,RIM'K,1.4533369999999999,similar
BOOBA,SINIK,1.350721,similar
BOOBA,KEKRA,1.25663,similar
BOOBA,JUL,1.082512,similar
BOOBA,HEUSS L'ENFOIRE,1.252561,similar
BOOBA,KOBA LAD,1.12433,similar
BOOBA,FREEZE CORLEONE,1.123094,similar
BOOBA,ROHFF,1.360677,similar
BOOBA,LAYLOW,0.499562,similar
BOOBA,MAC TYER,0.496025,similar
BOOBA,BRAMSITO,0.82581,similar
BOOBA,BRULUX,0.711564,similar
BOOBA,CHEU-B,0.506126,similar
BOOBA,DA UZI,0.642007,similar
BOOBA,DIAM'S,0.536549,similar
BOOBA,DJANGO,0.569524,similar
BOOBA,DTF,0.96055,similar
