Interprete;Titre;Editeur / Distributeur;Categorie;Certification;Date de sortie;Date de constat;Duree obtention
NIAGARA;FLAMMES;POLYDOR/UNIVERSAL MUSIC;Albums;Triple Platine;08/04/2002;25/03/2003;11 mois
FRANK MICHAEL;ENTRE NOUS;WARNER MUSIC FRANCE;Albums;Or;04/03/2003;12/03/2003;
PHIL COLLINS;CAN'T STOP LOVING YOU;WEA/WARNER MUSIC France;Singles;Or;10/02/2003;11/03/2003;
MICHEL BERGER;POUR ME COMPRENDRE;WEA/WARNER MUSIC France;Albums;Platine;08/07/2002;11/03/2003;8 mois
PHIL COLLINS;ETSTIFY;WEA/WARNER MUSIC France;Albums;Platine;11/11/2002;11/03/2003;4 mois
THE CORRS;BEST OF;EAST WEST/WARNER MUSIC France;Albums;Platine;22/10/2001;11/03/2003;1 an 4 mois
LAURA PAUSINI;E RITORNO DA TE - BEST OF;EAST WEST/WARNER MUSIC France;Albums;Double Platine;15/10/2001;11/03/2003;1 an 5 mois
DIVERS;LA FAUNE EN FOLIE;WARNER VISION France/WARNER MUSIC France;Vidéos;Or;29/09/2002;11/03/2003;5 mois
COMPILATION;H1ts - TOUS LES N;WARNER STRATEGIC MARKETING/WARNER MUSIC France;Albums;Or;28/10/2002;11/03/2003;4 mois
FRANCK MICHAEL;ENTRE NOUS;WARNER STRATEGIC MARKETING/WARNER MUSIC France;Albums;Or;03/03/2003;11/03/2003;
CEDRIC;CEDRIC DVD 1 EPI 1 A 9;WARNER VISION France/WARNER MUSIC France;Vidéos;Platine;03/04/2002;11/03/2003;11 mois
ELIE KAKOU;A L'OLYMPIA DEJA;WARNER VISION France/WARNER MUSIC France;Vidéos;Diamant;06/11/1994;11/03/2003;8 ans 5 mois
DIEUDONNE;COCORICO A L'OLYMPIA;WARNER VISION France/WARNER MUSIC France;Vidéos;Double Platine;21/10/2002;11/03/2003;4 mois
TETES RAIDES;LE BOUT DU TOIT;TETES RAIDES (T;Albums;Or;31/01/1996;11/03/2003;7 ans 2 mois
ALPHONSE BROWN;LE FRUNKP;WARNER STRATEGIC MARKETING/WARNER MUSIC France;Singles;Platine;06/01/2003;11/03/2003;2 mois
MICHEL MULLER;PAS TOUT NOIR PAS TOUT BLANC;WARNER VISION France/WARNER MUSIC France;Vidéos;Double Platine;24/02/2003;11/03/2003;
MICHELE BERNIER;DE DEMON DE MIDI;WARNER VISION France/WARNER MUSIC France;Vidéos;Triple Platine;13/11/2000;11/03/2003;2 ans 4 mois
LINKIN PARK;HYBRID THEORY;WEA/WARNER MUSIC France;Albums;Double or;17/09/2001;11/03/2003;1 an 6 mois
RED HOT CHILI PEPPERS;BY THE WAY;WEA/WARNER MUSIC France;Albums;Double or;21/07/2002;11/03/2003;7 mois
SNIPER;DU RIRE AU LARME;DESH MUSIQUE/WARNER MUSIC France;Albums;Double or;28/01/2001;11/03/2003;2 ans 1 mois
TRACY CHAPMAN;LET IT RAIN;EAST WEST/WARNER MUSIC France;Albums;Double or;14/10/2002;11/03/2003;4 mois
VINCENT DELERM;VINCENT DELERM;WEA/WARNER MUSIC France;Albums;Double or;29/04/2002;11/03/2003;10 mois
JOEL O'CANGHA;TOUS LES HOMMES;WARNER STRATEGIC MARKETING/WARNER MUSIC France;Singles;Or;13/01/2003;11/03/2003;1 mois
KYO;LE CHEMIN;JIVE/VIRGIN France;Singles;Or;17/11/2002;04/03/2003;3 mois
PRISCILLA;REGARDE MOI (TESTE-MOI DETESTE-MOI);JIVE/VIRGIN France;Singles;Or;02/12/2002;04/03/2003;3 mois
JOHNNY HALLYDAY;HALLYDAY PAR JOHNNY;MERCURY/UNIVERSAL MUSIC;Vidéos;Or;26/08/2002;07/01/2003;4 mois
LARA FABIAN;INTIME;POLYDOR/UNIVERSAL MUSIC;Vidéos;Or;11/11/2002;07/01/2003;1 mois
MATT;MATT;BARCLAY/UNIVERSAL MUSIC;Vidéos;Or;03/06/2002;07/01/2003;7 mois
MAXIME LE FORESTIER;PLUTOT GUITARE;POLYDOR/UNIVERSAL MUSIC;Vidéos;Or;13/10/2002;07/01/2003;2 mois
NIAGARA;FLAMMES;POLYDOR/UNIVERSAL MUSIC;Vidéos;Or;08/04/2002;07/01/2003;9 mois
THE CURE;GREATEST HITS;POLYDOR/UNIVERSAL MUSIC;Vidéos;Or;20/11/2001;07/01/2003;1 an 1 mois
ANDRE RIEU;CROISIERE ROMANTIQUE;PHILIPS/UNIVERSAL MUSIC;Vidéos;Platine;02/12/2002;07/01/2003;1 mois
U2;BEST OF;ISLAND / AZ/UNIVERSAL MUSIC;Vidéos;Platine;02/12/2002;07/01/2003;1 mois
GERALD DE PALMAS;LIVE 2002;POLYDOR/UNIVERSAL MUSIC;Vidéos;Double Platine;25/11/2002;07/01/2003;1 mois
CAUET;LE MEILLEUR OF DVD;U.L.M./UNIVERSAL MUSIC;Vidéos;Triple Platine;05/11/2002;07/01/2003;2 mois
MULTI INTERPRETES;URBAN PEACE;BARCLAY/UNIVERSAL MUSIC;Vidéos;Triple Platine;02/12/2002;07/01/2003;1 mois
RAYMOND DEVOS;80 ANS 80 SKETCHES;MERCURY/UNIVERSAL MUSIC;Vidéos;Diamant;27/10/2002;07/01/2003;2 mois
LARA FABIAN;LIVE;POLYDOR/UNIVERSAL MUSIC;Vidéos;Triple Platine;11/11/2002;07/01/2003;1 mois
JOHNNY HALLYDAY;MARIE;MERCURY/UNIVERSAL MUSIC;Singles;Diamant;20/10/2002;30/12/2002;2 mois
STAR ACADEMY 2;CHANTE MICHEL BERGER;Mercury/Niouprod/TF1 Entreprises/UNIVERSAL MUSIC;Albums;Double Platine;27/10/2002;30/12/2002;2 mois
STAR ACADEMY 2;FAIT SA BOUM;Mercury/Niouprod/TF1 Entreprises/UNIVERSAL;Albums;Triple Platine;25/11/2002;30/12/2002;1 mois
STAR ACADEMY 2;MUSIQUE;Mercury/Niouprod/TF1 entreprises/UNIVERSAL MUSIC;Singles;Platine;29/09/2002;30/12/2002;3 mois
L5;AIME;M6 INTERACTIONS/MERCURY/UNIVERSAL MUSIC;Singles;Or;13/10/2002;30/12/2002;2 mois
JOHNNY HALLYDAY;A LA VIE A LA MORT !;MERCURY/UNIVERSAL MUSIC;Albums;Diamant;03/11/2002;29/12/2002;1 mois
L5;RETIENS MOI;MERCURY/M6 INTERACTIONS/UNIVERSAL MUSIC;Albums;Double or;29/09/2002;23/12/2002;2 mois
2 PAC;GREATEST HITS;JIVE/ZOMBA;Albums;Or;29/11/1998;23/12/2002;4 ans 1 mois
BENABAR;BENABAR;JIVE/VIRGIN;Albums;Or;16/09/2001;23/12/2002;1 an 3 mois
MAXIME LEFORESTIER;PLUTOT GUITARE;POLYDOR/UNIVERSAL;Albums;Or;21/05/2002;18/12/2002;7 mois
PIERRE PERRET;CUI-LA;ADELE PIERRE PERRET/WARNER MUSIC France;Albums;Or;28/10/2002;18/12/2002;1 mois
PHIL COLLINS;TESTIFY;WEA/WARNER MUSIC France;Albums;Double or;11/11/2002;18/12/2002;1 mois
U2;THE BEST OF 1990 - 2000;ISLAND/UNIVERSAL MUSIC;Albums;Or;03/11/2002;18/12/2002;1 mois
WHAT FOR;WHAT FOR;AZ/M6 INTERACTIONS/UNIVERSAL MUSIC;Albums;Or;09/12/2002;18/12/2002;
WHAT FOR;PLUS HAUT;AZ/M6 INTERACTIONS/;Singles;Platine;25/11/2002;18/12/2002;
CHARLES AZNAVOUR;PALAIS DES CONGRES;EMI HOLLAND/EMI MUSIC France;Vidéos;Or;17/11/1999;18/12/2002;3 ans 1 mois
PINK FLOYD;P.U.LS.E.;CAPITOL/EMI MUSIC France;Vidéos;Or;06/06/1995;18/12/2002;7 ans 7 mois
SUSHEELA RAMAN;SALT RAIN;RAIN SONGS / NARADA/VIRGIN France;Albums;Or;27/05/2001;11/12/2002;1 an 6 mois
THE ROLLING STONES;40 LICKS;Promopub B.V./Abkco Music Inc./VIRGIN France;Albums;Or;26/09/2002;11/12/2002;2 mois
WHITNEY HOUSTON;JUST WHITNEY;ARISTA INTERNATIONAL/BMG France;Albums;Or;25/11/2002;11/12/2002;
RENAUD AXELLE RED;MANHATTAN KABOUL;CECI-CELA/VIRGIN France;Singles;Platine;21/07/2002;11/12/2002;4 mois
COMPILATION;LES PLUS BEAUX DUOS;EMI MUSI C France/VIRGIN France;Albums;Or;07/11/2002;11/12/2002;1 mois
COMPILATION;LES 100 PLUS BELLES CHANSONS FRANCAISES;EMI MUSI C France/VIRGIN France;Albums;Or;18/08/2002;11/12/2002;3 mois
ALAIN SOUCHON;J'VEUX DU LIVE;Virgin France /Editions Alain Souchon/VIRGIN France;Albums;Or;24/11/2002;11/12/2002;
AXELLE RED;FACE A FACE B;BIMBO SONG PUBLISHING/VIRGIN France;Albums;Or;14/11/2002;11/12/2002;
MOBY;18;Warner Tamerlane Bmi/Little Idiot Music/VIRGIN FRANCE;Albums;Platine;09/05/2002;11/12/2002;7 mois
TIKEN JAH FAKOLY;Fran;BARCLAY/UNIVERSAL MUSIC;Albums;Or;18/02/2002;09/12/2002;9 mois
GERALD DE PALMAS;LIVE 2002;POLYDOR/UNIVERSAL MUSIC;Albums;Double or;11/11/2002;09/12/2002;
NIRVANA;BEST OF;INTERSCOP/UNIVERSAL MUSIC;Albums;Or;27/10/2002;03/12/2002;1 mois
ZEBDA;UTOPIE D'OCCASE;ZEBDA S.A.R.L./UNIVERSAL MUSIC;Albums;Or;15/09/2002;03/12/2002;2 mois
SOPHIE ELLIES BEXTOR;MURDER ON THE DANCE FLOOR;POLYDOR U.K./UNIVERSAL MUSIC;Singles;Or;03/06/2002;03/12/2002;6 mois
EVE;SCORPION;INTERSCOP/UNIVERSAL MUSIC;Albums;Or;05/03/2001;03/12/2002;1 an 9 mois
LUNATIC;MAUVAISE ?IL;WARNER STRATEGIC MARKETING/WARNER MUSIC France;Albums;Or;23/10/2000;26/11/2002;2 ans 1 mois
MORCHEEBA;FRAGMENTS OF FREEDOM;CHINA RECORDS/WARNER MUSIC France;Albums;Or;09/07/2000;26/11/2002;2 ans 5 mois
MADONNA;MUSIC;MAVERICK/WARNER MUSIC France;Albums;Double Platine;17/09/2000;26/11/2002;2 ans 2 mois
PHIL COLLINS;TESTIFY;WEA U.K./WARNER MUSIC France;Albums;Or;11/11/2002;26/11/2002;
ROBBIE WILLIAMS;ESCAPOLOGY;CHRYSALIS/EMI MUSIC France;Albums;Or;14/11/2002;26/11/2002;
TRACY CHAPMAN;LET IT RAIN;ELEKTRA / ASYLUM/WARNER MUSIC France;Albums;Or;14/10/2002;26/11/2002;1 mois
VINCENT DELERM;VINCENT DELERM;V.F. MUSIQUES/WARNER MUSIC France;Albums;Or;02/05/2002;26/11/2002;6 mois
UMBERTO TOZZI & LENA KA;TI AMO - RIEN QUE DES MOTS;C.G.D./WARNER MUSIC France;Singles;Platine;04/08/2002;26/11/2002;3 mois
DAVID BOWIE;BEST OF BOWIE;CAPITOL UL/EMI MUSIC France;Vidéos;Or;13/10/2002;26/11/2002;1 mois
FREDDIE MERCURY;THE FREDDIE MERCURY TRIBUTE CONCERT;PARLOPHONE/EMI MUSIC France;Vidéos;Or;12/05/2002;26/11/2002;6 mois
France GALL;LES ANNEES MUSIQUE;COLLINE/APACHE/WARNER MUSIC France;Albums;Double Platine;18/02/1990;26/11/2002;12 ans 11 mois
MC SOLAAR;CINQUIEME AS;SENTINEL OUEST/WARNER MUSIC France;Albums;Double Platine;12/02/2001;26/11/2002;1 an 9 mois
