Interprete;Titre;Editeur / Distributeur;Categorie;Certification;Date de sortie;Date de constat;Duree obtention
SLIMANE;ADIEU;CAPITOL MUSIC FRANCE / UNIVERSAL MUSIC FRANCE;Singles;Or;08/07/2016;26/05/2022;5 ans 11 mois
CHILLA;SI J'ÉTAIS UN HOMME;MILLENIUM / CAPITOL MUSIC FRANCE	/ UNIVERSAL MUSIC FRANCE;Singles;Or;17/02/2022;26/05/2022;3 mois
RIM'K;FANTÔME;FRENESIK	/ VIRGIN RECORDS FRANCE / UNIVERSAL MUSIC FRANCE;Singles;Or;03/03/2017;26/05/2022;5 ans 3 mois
DJ KHALED;POPSTAR;OVO/WE THE BEST/EPIC	SONY MUSIC ENTERTAINMENT;Singles;Or;15/07/2020;26/05/2022;1 an 10 mois
DAMSO;EXUTOIRE;CAPITOL MUSIC FRANCE / UNIVERSAL MUSIC FRANCE;Singles;Or;08/07/2016;26/05/2022;5 ans 11 mois
WEJDENE;16;VIRGIN RECORDS FRANCE / UNIVERSAL MUSIC FRANCE;Singles;Or;25/09/2020;26/05/2022;1 an 8 mois
NIRO;MERCO BENZ;UNIVERSAL MUSIC DIVISION CAPITOL MUSIC FRANCE;Singles;Or;27/05/2016;26/05/2022;6 ans 1 mois
LETO;MOZART CAPITAINE JACKSON (EPISODE 2);REC. 118 / WARNER MUSIC FRANCE;Singles;Or;11/08/2021;26/05/2022;9 mois
OBOY;LOUIS V;SYNDICATE RECORDS / BELIEVE;Singles;Or;08/09/2021;26/05/2022;8 mois
ORELSAN;BÉBÉBOA;3EME BUREAU	/ WAGRAM;Singles;Or;19/11/2021;26/05/2022;6 mois
BERNARD LAVILLIERS;SOUS UN SOLEIL ÉNORME – VERSION COLLECTOR – EDITION LIMITÉE;ROMANCE MUSIQUE / UNIVERSAL MUSIC FRANCE;Albums;Platine;12/11/2021;26/05/2022;6 mois
MEDUZA FEAT. GOODBOYS;PIECE OF YOUR HEART;ISLAND DEF JAM / UNIVERSAL MUSIC FRANCE;Singles;Diamant;01/02/2019;26/05/2022;3 ans 4 mois
VITAA;J4M;PLAY TWO / BELIEVE;Albums;Double Platine;05/05/2017;26/05/2022;5 ans 1 mois
MISTER V FEAT. JUL;PIRELLI;Hey Pelo / BELIEVE;Singles;Platine;31/01/2020;26/05/2022;2 ans 4 mois
KEBLACK;COMPLÈTEMENT SONNÉ;MUKONGO BUSINESS / BELIEVE;Singles;Diamant;13/04/2018;26/05/2022;4 ans 2 mois
DJADJA & DINAZ;C'EST LA MÊME;CARRE-MUSIC / MUSICAST / Believe;Singles;Platine;10/03/2017;26/05/2022;5 ans 3 mois
AYA NAKAMURA FEAT. NISKA;SUCETTE;Rec. 118 / WARNER MUSIC FRANCE;Singles;Diamant;02/11/2018;26/05/2022;3 ans 7 mois
PNL;LE MONDE CHICO;QLF RECORDS / BELIEVE;Albums;Diamant;30/10/2015;19/05/2022;6 ans 7 mois
KEEN' V;PETITE EMILIE;WARNER MUSIC FRANCE;Singles;Or;17/03/2014;19/05/2022;8 ans 3 mois
JUL;JE NE ME VOIS PAS BRILLER;D'OR ET DE PLATINE / BELIEVE;Albums;Triple Platine;30/06/2017;19/05/2022;4 ans 11 mois
T2R;LOKA 4;JUSTON / WAGRAM;Singles;Or;03/05/2019;19/05/2022;3 ans 1 mois
THE CHAINSMOKERS & ILLENIUM;TAKEAWAY (FEAT. LENNON STELLA);DISRUPTOR RECORDS/COLUMBIA / SONY MUSIC ENTERTAINMENT;Singles;Or;24/07/2019;19/05/2022;2 ans 10 mois
LOMEPAL;TOUT LÂCHER;PINÉALE / IDOL;Singles;Or;11/05/2018;19/05/2022;4 ans
ED SHEERAN;SHIVERS;WEA / ATLANTIC RECORDS UK / WARNER MUSIC FRANCE;Singles;Diamant;10/09/2021;05/05/2022;7 mois
EVA FEAT. KEBLACK & NAZA;KITOKO;ALDAM PRODUCTION / MCA / UNIVERSAL MUSIC FRANCE;Singles;Platine;29/11/2019;05/05/2022;2 ans 5 mois
HIRO FEAT. NINHO;A DÉCOUVERT;URBAN / PIAS FRANCE;Singles;Diamant;19/04/2019;05/05/2022;3 ans 1 mois
13 ORGANISÉ;13 ORGANISÉ;Rien 100 Rien	/ BELIEVE;Albums;Double Platine;09/10/2020;05/05/2022;1 an 7 mois
POLO & PAN;ANI KUNI;EKLER'O'SHOCK / VIRGIN RECORDS FRANCE / UNIVERSAL MUSIC FRANCE;Singles;Diamant;07/05/2021;05/05/2022;1 an
GLK FEAT. NINHO;MAUVAIS;50k Editions / BELIEVE;Singles;Platine;30/11/2018;05/05/2022;3 ans 5 mois
NEKFEU;CHEUM;SEINE ZOO RECORDS / UNIVERSAL DIVISION POLYDOR;Singles;Diamant;07/06/2019;05/05/2022;2 ans 11 mois
HATIK;MER;PLAY TWO / BELIEVE;Singles;Or;12/02/2021;28/04/2022;1 an 2 mois
EDDY DE PRETTO;BATEAUX-MOUCHES;ROMANCE MUSIQUE / UNIVERSAL MUSIC FRANCE;Singles;Or;06/01/2021;28/04/2022;1 an 3 mois
POWFU FEAT. BEABADOOBEE;DEATH BED;COLUMBIA / SONY MUSIC ENTERTAINMENT;Singles;Diamant;08/02/2020;28/04/2022;2 ans 3 mois
RIDSA;PORTO RICO;WLAB / WAGRAM;Singles;Or;07/10/2016;28/04/2022;5 ans 7 mois
ENRIQUE IGLESIAS;SUBEME LA RADIO (SALSA REMIX);RCA RECORDS  / SONY MUSIC  LATIN / SONY MUSIC ENTERTAINMENT;Singles;Diamant;24/02/2017;28/04/2022;5 ans 2 mois
MÅNESKIN;BEGGIN';RCA RECORDS LABEL / SONY MUSIC ENTERTAINMENT;Singles;Diamant;08/12/2017;28/04/2022;4 ans 5 mois
TIMAL;LA 13;ELEKTRA FRANCE / WARNER MUSIC FRANCE;Singles;Or;28/02/2020;28/04/2022;2 ans 2 mois
YOUNG THUG;GO CRAZY;CHRIS BROWN ENTERTAINMENT / 300 ENTERTAINMENT / RCA RECORDS / SONY MUSIC ENTERTAINMENT;Singles;Or;04/05/2020;28/04/2022;2 ans
COLDPLAY;MUSIC OF THE SPHERES;PARLOPHONE / WARNER MUSIC FRANCE;Albums;Platine;15/10/2021;28/04/2022;6 mois
RITON;FRIDAY;MINISTRY OF SOUND RECORDINGS / SONY MUSIC ENTERTAINMENT;Singles;Diamant;15/01/2021;28/04/2022;1 an 3 mois
KENDJI GIRAC;MI VIDA;ISLAND DEF JAM / UNIVERSAL MUSIC FRANCE;Albums;Triple Platine;08/10/2020;28/04/2022;1 an 6 mois
DAMSO;Σ. MOROSE;TRENTE-QUATRE CENTIMES / UNIVERSAL MUSIC FRANCE;Singles;Diamant;28/04/2021;28/04/2022;1 an
KALASH CRIMINEL;OYOKI;CAPITOL / UNIVERSAL MUSIC FRANCE;Albums;Platine;19/05/2017;28/04/2022;5 ans
JP COOPER;SEPTEMBER SONG;VIRGIN RECORDS FRANCE / UNIVERSAL MUSIC FRANCE;Singles;Platine;16/09/2016;28/04/2022;5 ans 8 mois
ARIANA GRANDE;SWEETENER;UNIVERSAL MUSIC / ISLAND DEF JAM	/ UNIVERSAL MUSIC FRANCE;Albums;Platine;17/08/2018;21/04/2022;3 ans 8 mois
HEUSS + VALD;HORIZON VERTICAL;150 PROD / BELIEVE;Albums;Or;18/12/2020;21/04/2022;1 an 4 mois
TIMAL;DANS LA VILLE;ELEKTRA FRANCE / WARNER MUSIC FRANCE;Singles;Or;13/04/2018;21/04/2022;4 ans
NAPS;VOVO;ALLPOINTS / BELIEVE;Singles;Or;28/06/2019;21/04/2022;2 ans 10 mois
KYGO & DONNA SUMMER;HOT STUFF;RCA RECORDS LABEL / SONY MUSIC ENTERTAINMENT;Singles;Or;18/09/2020;21/04/2022;1 an 7 mois
TAYC;D O D O;PLAY TWO / BELIEVE;Singles;Platine;19/11/2021;21/04/2022;5 mois
LOGOBI GT FEAT BB MODEL;ELLE DANSE SEXY;WAGRAM;Singles;Or;11/10/2010;21/04/2022;11 ans 8 mois
DAMSO;D. DIEU NE MENT JAMAIS;92i/Capitol / UNIVERSAL MUSIC FRANCE;Singles;Diamant;27/04/2017;21/04/2022;5 ans
ORELSAN;RÊVE MIEUX;3EME BUREAU /  WAGRAM;Singles;Or;19/11/2021;21/04/2022;5 mois
JUL;TOTO ET NINETTA;D'OR ET DE PLATINE / BELIEVE;Singles;Diamant;29/06/2018;31/03/2022;3 ans 9 mois
KOBA LAD;COFFRE PLEIN;MILLENIUM / UNIVERSAL MUSIC FRANCE;Singles;Diamant;22/10/2020;31/03/2022;1 an 5 mois
RK;SOS;CAPITOL MUSIC FRANCE / LES RESCAPES / UNIVERSAL MUSIC FRANCE;Singles;Or;28/05/2020;31/03/2022;1 an 10 mois
DAMSO;ROSE MARTHE'S LOVE;TRENTE-QUATRE CENTIMES / UNIVERSAL MUSIC FRANCE;Singles;Or;17/09/2020;31/03/2022;1 an 6 mois
SUZANE;TOÏ TOÏ;WAGRAM / 3EME BUREAU / 3EME BUREAU;Albums;Or;24/01/2020;31/03/2022;2 ans 2 mois
LANDY;BAD BOY;BELIEVE / BELIEVE / 109 RECORD;Single;Or;04/10/2019;31/03/2022;2 ans 6 mois
PNL;CELSIUS;MUSICAST / QLF RECORDS / BELIEVE;Singles;Platine;03/04/2019;31/03/2022;3 ans
NAZA;SOURIS VERTE;BELIEVE / BELIEVE / CAPRICAROLESQUE;Single;Or;27/01/2020;31/03/2022;2 ans 2 mois
FLORENT PAGNY;L'AVENIR;CAPITOL MUSIC FRANCE / UNIVERSAL MUSIC FRANCE;Albums;Platine;17/09/2021;25/03/2022;6 mois
ELSA ESNOULT;5;JLA /  PRODUCTIONS / WAGRAM;Albums;Or;19/02/2021;25/03/2022;1 an 1 mois
FRANGLISH FEAT AYA NAKAMURA;SANS MOI;CAPITOL MUSIC FRANCE / UNIVERSAL MUSIC FRANCE;Singles;Or;09/07/2021;25/03/2022;8 mois
JUSTIN BIEBER;PEACHES;ISLAND DEF JAM / UNIVERSAL MUSIC;Singles;Diamant;19/03/2021;25/03/2022;1 an
NINHO;VVS;REC. 118 / MAL LUNE MUSIC	/ WARNER MUSIC FRANCE;Singles;Diamant;03/12/2021;25/03/2022;3 mois
KEBLACK;PREMIER ETAGE;MUSICAST / MUKONGO BUSINESS / BELIEVE;Albums;Platine;27/01/2017;24/03/2022;5 ans 2 mois
DA UZI;SOIREES DES CITES;WARNER MUSIC FRANCE / REC118 / REC. 118;Single;Or;03/04/2020;24/03/2022;2 ans
13 ORGANISÉ;JE SUIS MARSEILLE;BELIEVE / BELIEVE / RIEN 100 RIEN;Single;Or;09/10/2020;24/03/2022;1 an 5 mois
ANNE-MARIE;2002;WARNER MUSIC FRANCE / WARNER / ATLANTIC RECORDS UK;Single;Or;20/04/2018;17/03/2022;3 ans 11 mois
ANGÈLE;NOMBREUX;ROMANCE MUSIQUE / ANGELE VL RECORDS / UNIVERSAL MUSIC FRANCE;Singles;Platine;05/10/2018;17/03/2022;3 ans 5 mois
NINHO;COMME PREVU;REC. 118 / MAL LUNE MUSIC / WARNER MUSIC FRANCE;Albums;Diamant;08/09/2017;17/03/2022;4 ans 7 mois
JUBËL;DANCING IN THE MOONLIGHT (FEAT. NEIMY);WARNER MUSIC FRANCE / WARNER / GOOD SOLDIER;Single;Or;03/08/2020;17/03/2022;1 an 7 mois
ROSALÍA;YO X TI, TU X MI;SONY MUSIC ENTERTAINMENT / SONY MUSIC ENTERTAINMENT / COLUMBIA;Single;Or;15/08/2019;17/03/2022;2 ans 7 mois
OZUNA;TE ROBARÉ;SONY MUSIC ENTERTAINMENT / SONY MUSIC ENTERTAINMENT / SONY MUSIC LATIN;Single;Or;24/03/2019;17/03/2022;3 ans
MULTI INTERPRÈTES;ALANE;LABEL PANTHEON / UMSM / UNIVERSAL MUSIC FRANCE;Singles;Or;30/10/2020;17/03/2022;1 an 4 mois
DRAKE & MICHAEL JACKSON;DON’T MATTER TO ME;REPUBLIC RECORDS / UNIVERSAL MUSIC FRANCE;Singles;Or;29/06/2018;17/03/2022;3 ans 9 mois
NEKFEU;DERNIER SOUPIR;SEINE ZOO RECORDS / POLYDOR / UNIVERSAL MUSIC FRANCE;Singles;Or;21/06/2019;17/03/2022;2 ans 9 mois
POUPIE;FEUX;ISLAND DEF JAM / UNIVERSAL MUSIC FRANCE;Singles;Or;20/10/2020;17/03/2022;1 an 5 mois
JOHNNY HALLYDAY;DIEGO, LIBRE DANS SA TÊTE;LABEL PANTHEON / MERCURY RECORDS / UNIVERSAL MUSIC FRANCE;Singles;Or;11/12/2020;17/03/2022;1 an 3 mois
KAZA;HEARTBREAK LIFE;ELEKTRA FRANCE / WARNER MUSIC FRANCE;Albums;Platine;06/03/2020;17/03/2022;2 ans
PNL;ZOULOU TCHAING;MUSICAST / QLF RECORDS / BELIEVE;Singles;Diamant;03/04/2019;17/03/2022;2 ans 11 mois
PLK;CHANDON ET MOËT;PANENKA MUSIC / WAGRAM;Singles;Platine;28/08/2020;17/03/2022;1 an 6 mois
DAMSO;KIETU;CAPITOL MUSIC FRANCE / UNIVERSAL MUSIC FRANCE;Singles;Diamant;28/04/2017;24/02/2022;4 ans 10 mois
SOUF;ÇA C'EST FAIT;POLYDOR / UNIVERSAL MUSIC FRANCE;Singles;Or;25/04/2019;24/02/2022;2 ans 10 mois
ANNA;BANDO;POLYDOR / UNIVERSAL MUSIC FRANCE;Singles;Or;30/01/2020;24/02/2022;2 ans 1 mois
PNL;SIBÉRIE;BELIEVE / BELIEVE / QLF RECORDS;Single;Or;05/07/2019;24/02/2022;2 ans 8 mois
DAMSO;911;TRENTE-QUATRE CENTIMES / UNIVERSAL MUSIC FRANCE;Singles;Diamant;17/09/2020;24/02/2022;1 an 5 mois
SOUF;ÇA C'EST FAIT;UNIVERSAL MUSIC FRANCE / POLYDOR / POLYDOR;Single;Or;25/04/2019;24/02/2022;2 ans 10 mois
ICO;DÉDICACE;BELIEVE / BELIEVE / SQUAMOUR;Single;Or;22/11/2019;24/02/2022;2 ans 3 mois
ANNA;BANDO;UNIVERSAL MUSIC FRANCE / POLYDOR / POLYDOR;Single;Or;30/01/2020;24/02/2022;2 ans 1 mois
LEFA;FAME;2L MUSIC / SONY MUSIC FRANCE;Albums;Platine;18/10/2019;24/02/2022;2 ans 4 mois
JUL;PIC ET PIC, ALCOOL ET DRAME;D'OR ET DE PLATINE / BELIEVE;Singles;Diamant;25/06/2021;24/02/2022;8 mois
THE BLAZE;DANCEHALL;BELIEVE / BELIEVE / ANIMAL 63;Albums;Or;07/09/2018;24/02/2022;3 ans 6 mois
IRON MAIDEN;SENJUTSU;PARLOPHONE	/ WEA / WARNER MUSIC FRANCE;Albums;Or;03/09/2021;24/02/2022;5 mois
BOOBA;DERNIÈRE FOIS;TALLAC RECORDS / CAPITOL MUSIC FRANCE / UNIVERSAL MUSIC FRANCE;Singles;Or;04/03/2021;24/02/2022;11 mois
ANGELCY	/;LAISSER FAIRE;PLAY TWO / BELIEVE;Singles;Or;07/05/2021;24/02/2022;9 mois
SOPRANO;PRÈS DES ÉTOILES;REC. 118 / WARNER MUSIC FRANCE;Singles;Or;24/03/2021;24/02/2022;11 mois
TWOCOLORS;LOVEFOOL;UNIVERSAL MUSIC FRANCE / POLYDOR / POLYDOR;Single;Platine;07/05/2020;17/02/2022;1 an 9 mois
CLEAN BANDIT;I MISS YOU (FEAT. JULIA MICHAELS);ATLANTIC RECORDS UK / WARNER MUSIC FRANCE;Singles;Platine;27/10/2017;17/02/2022;4 ans 4 mois
NEKFEU;ROUGE À LÈVRES;UNIVERSAL MUSIC FRANCE / POLYDOR / SEINE ZOO;Single;Or;21/06/2019;17/02/2022;2 ans 8 mois
DEAN LEWIS;WAVES;UNIVERSAL MUSIC FRANCE / ISLAND DEF JAM / UNIVERSAL MUSIC;Single;Or;06/10/2016;17/02/2022;5 ans 5 mois
DEAN LEWIS;WAVES;ISLAND DEF JAM / UNIVERSAL MUSIC FRANCE;Singles;Or;06/10/2016;17/02/2022;5 ans 5 mois
RK;QUI JE SUIS;3.5.7 MUSIC / CAPITOL MUSIC FRANCE	/ UNIVERSAL MUSIC FRANCE;Singles;Or;13/09/2018;17/02/2022;3 ans 5 mois
NEKFEU feat. BJ The Chicago Kid;ROUGE À LÈVRES;SEINE ZOO  / POLYDOR / UNIVERSAL MUSIC FRANCE;Singles;Or;21/06/2019;17/02/2022;2 ans 8 mois
NISKA;VRAI;MILLENIUM  / CAPITOL MUSIC FRANCE / UNIVERSAL MUSIC FRANCE;Singles;Or;05/09/2019;17/02/2022;2 ans 5 mois
NISKA;VRAI;UNIVERSAL MUSIC FRANCE / CAPITOL MUSIC FRANCE / MILLENIUM;Single;Or;05/09/2019;17/02/2022;2 ans 5 mois
RK;QUI JE SUIS;UNIVERSAL MUSIC FRANCE / CAPITOL MUSIC FRANCE / 3.5.7 MUSIC;Single;Or;13/09/2018;17/02/2022;3 ans 5 mois
SOSO MANESS;ZODIAQUE;SONY MUSIC ENTERTAINMENT / SONY MUSIC ENTERTAINMENT / RCA GROUP;Single;Or;03/04/2020;17/02/2022;1 an 10 mois
LOMEPAL;SUR LE SOL;IDOL / IDOL / PINEALE PROD - GRAND MUSIQUE MANAGEMENT;Single;Or;30/06/2017;17/02/2022;4 ans 8 mois
NINHO;JEFE;REC. 118 / MAL LUNE MUSIC	/ WARNER MUSIC FRANCE;Singles;Diamant;03/12/2021;10/02/2022;2 mois
PLK;POURTANT;WAGRAM / PANENKA MUSIC / PANENKA MUSIC;Single;Or;28/08/2020;10/02/2022;1 an 5 mois
KODAK BLACK;WAKE UP IN THE SKY;WARNER MUSIC FRANCE / WARNER / GUWOP ENTERPRISES/ATLANTIC;Single;Or;14/09/2018;10/02/2022;3 ans 5 mois
NISKA;HASTA LUEGO;UNIVERSAL MUSIC FRANCE / CAPITOL MUSIC FRANCE / MILLENIUM;Single;Or;05/09/2019;27/01/2022;2 ans 5 mois
ISK;LE BILLET;VIRGIN RECORDS FRANCE / UNIVERSAL MUSIC FRANCE;Singles;Or;28/06/2021;27/01/2022;7 mois
SOFIANE;ATTRAPE-MOI SI TU PEUX;CAPITOL MUSIC FRANCE / UNIVERSAL MUSIC FRANCE;Singles;Or;13/05/2021;27/01/2022;8 mois
KUNGS;NEVER GOING HOME;ISLAND DEF JAM / UNIVERSAL MUSIC FRANCE;Singles;Diamant;21/05/2021;27/01/2022;8 mois
LIL NAS X;INDUSTRY BABY;COLUMBIA / SONY MUSIC ENTERTAINMENT;Singles;Diamant;23/07/2021;27/01/2022;6 mois
FARRUKO;PEPAS;RCA / SONY MUSIC ENTERTAINMENT;Singles;Diamant;24/06/2021;27/01/2022;7 mois
HORNET LA FRAPPE;DANS LES YEUX;REC. 118 / WARNER MUSIC FRANCE;Albums;Platine;21/09/2018;20/01/2022;3 ans 4 mois
VIANNEY;LE FILS À PAPA;TÔT OU TARD / WAGRAM;Singles;Or;31/10/2016;20/01/2022;5 ans 3 mois
SHAY;ICH LIEBE DICH;UNIVERSAL MUSIC FRANCE / CAPITOL MUSIC FRANCE / MILLENIUM;Single;Or;09/05/2019;20/01/2022;2 ans 8 mois
LIL NAS X;RODEO;SONY MUSIC ENTERTAINMENT / COLUMBIA / COLUMBIA;Single;Or;21/06/2019;20/01/2022;2 ans 7 mois
JUL;ASSASSINAT;D'OR ET DE PLATINE / BELIEVE;Singles;Or;25/06/2021;20/01/2022;6 mois
SHAY;ICH LIEBE DICH;MILLENIUM / CAPITOL MUSIC FRANCE / UNIVERSAL MUSIC FRANCE;Singles;Or;09/05/2019;20/01/2022;2 ans 8 mois
JOSMAN;J'AIME BIEN!;CHOKE INDUSTRY / IDOL;Singles;Diamant;14/09/2018;20/01/2022;3 ans 4 mois
BTS;LOVE YOURSELF : 'TEAR';UNIVERSAL MUSIC FRANCE / POLYDOR / POLYDOR;Albums;Or;18/05/2018;20/01/2022;3 ans 8 mois
STING;RESTE;PLAY TWO / SONY MUSIC ENTERTAINMENT;Singles;Diamant;26/04/2019;20/01/2022;2 ans 9 mois
VIANNEY;LE FILS À PAPA - SINGLE;WAGRAM / WAGRAM / TÔT OU TARD;Single;Or;31/10/2016;20/01/2022;5 ans 3 mois
DIVERS;NRJ MUSIC AWARDS 2021;WARNER SPECIAL MARKETING / WARNER MUSIC FRANCE;Albums;Or;05/11/2021;13/01/2022;2 mois
BOOBA;KAYNA;TALLAC RECORDS / CAPITOL MUSIC FRANCE / UNIVERSAL MUSIC FRANCE;Singles;Or;06/05/2021;13/01/2022;8 mois
BOSH;SLIDE;SONY MUSIC ENTERTAINMENT / SONY MUSIC ENTERTAINMENT / ARISTA FRANCE;Single;Platine;23/10/2020;13/01/2022;1 an 2 mois
LORENZO;NIQUE LA BAC;ROMANCE MUSIQUE / MFC / UNIVERSAL MUSIC FRANCE;Singles;Platine;23/08/2019;13/01/2022;2 ans 5 mois
KIMBEROSE;BACK ON MY FEET;BELIEVE / BELIEVE / LABEL 6&7;Single;Or;24/09/2020;13/01/2022;1 an 3 mois
DJADJA & DINAZ;J’SUIS KHA;BELIEVE / BELIEVE / CARRÉ-MUSIC;Single;Or;17/03/2017;13/01/2022;4 ans 10 mois
EVA;CŒUR NOIR;UNIVERSAL MUSIC FRANCE / MCA / ALDAM PRODUCTION;Single;Diamant;03/12/2020;06/01/2022;1 an 1 mois
SHAKIRA;DON'T WAIT UP;RCA / SONY MUSIC ENTERTAINMENT;Singles;Or;16/07/2021;06/01/2022;5 mois
TAYC;DIS MOI COMMENT;PLAY TWO / BELIEVE;Singles;Or;09/07/2021;06/01/2022;6 mois
EVA;CŒUR NOIR;ALDAM PRODUCTION  /MCA	/UNIVERSAL MUSIC FRANCE;Singles;Diamant;03/12/2020;06/01/2022;1 an 1 mois
BEYONCÉ;ALREADY;SONY MUSIC ENTERTAINMENT / SONY MUSIC ENTERTAINMENT / PARKWOOD ENTERTAINMENT/COLUMBIA;Single;Or;19/07/2019;06/01/2022;2 ans 6 mois
RAMZ;BARKING;UNIVERSAL MUSIC FRANCE / VIRGIN RECORDS FRANCE / UNIVERSAL MUSIC;Single;Or;30/11/2017;06/01/2022;4 ans 1 mois
RAMZ;BARKING;VIRGIN RECORDS FRANCE / UNIVERSAL MUSIC FRANCE;Singles;Or;30/11/2017;06/01/2022;4 ans 1 mois
AYA NAKAMURA;OUMOU SANGARÉ;WARNER MUSIC FRANCE / WARNER / REC. 118;Single;Or;19/06/2017;06/01/2022;4 ans 7 mois
JUL;LA PHARMACIE;BELIEVE / BELIEVE / D'OR ET DE PLATINE;Single;Or;18/12/2020;16/12/2021;1 an
LOUANE;LOUANE;ISLAND DEF JAM / UNIVERSAL MUSIC FRANCE;Albums;Diamant;10/11/2017;16/12/2021;4 ans 1 mois
CHRISTOPHE MAÉ;LES GENS;WARNER MUSIC FRANCE / WARNER / PARLOPHONE (FRANCE);Single;Or;04/09/2019;16/12/2021;2 ans 3 mois
BERNARD LAVILLIERS;SOUS UN SOLEIL ÉNORME;ROMANCE MUSIQUE / UNIVERSAL MUSIC FRANCE;Albums;Or;12/11/2021;16/12/2021;1 mois
HAMZA;SANTA SAUCE 2;REC. 118 / JUST WOKE UP / WARNER MUSIC FRANCE;Albums;Or;19/12/2019;16/12/2021;2 ans
MAÎTRE GIMS;TU NE LE VOIS PAS;PLAY TWO / SONY MUSIC ENTERTAINMENT;Singles;Platine;23/03/2018;16/12/2021;3 ans 9 mois
THE BLACK EYED PEAS;DON’T STOP THE PARTY;INTERSCOPE RECORDS	/ POLYDOR / UNIVERSAL MUSIC FRANCE;Singles;Platine;29/11/2010;16/12/2021;11 ans 2 mois
BENAB, MAES;RUDE;BELIEVE / BELIEVE / DRACARYS MUSIC;Single;Or;08/03/2019;16/12/2021;2 ans 9 mois
KORE & NINHO;MON POTO (EXTRAIT DE LA BO DE « EN PASSANT PÉCHO »);SONY MUSIC ENTERTAINMENT / RCA GROUP / AWA/RCA;Single;Diamant;12/03/2021;09/12/2021;9 mois
LES ENFOIRÉS;A CÔTÉ DE TOI;SONY MUSIC ENTERTAINMENT / SONY MUSIC ENTERTAINMENT / SONY MUSIC/RESTOS DU COEUR;Single;Or;13/01/2020;09/12/2021;1 an 11 mois
BOOBA;ULTRA;TALLAC RECORDS / CAPITOL MUSIC FRANCE / UNIVERSAL MUSIC FRANCE;Singles;Or;04/03/2021;09/12/2021;9 mois
KORE & NINHO;MON POTO;AWA/ RCA / SONY MUSIC ENTERTAINMENT;Singles;Diamant;12/03/2021;09/12/2021;9 mois
THE ROLLING STONES;LIVING IN A GHOST TOWN;UNIVERSAL MUSIC FRANCE / VIRGIN RECORDS FRANCE / UNIVERSAL MUSIC;Single;Or;23/04/2020;09/12/2021;1 an 7 mois
JOHNNY HALLYDAY;BERCY 2003;UNIVERSAL MUSIC FRANCE / LABEL PANTHEON / MERCURY RECORDS;Albums;Or;31/03/2016;09/12/2021;5 ans 9 mois
ED SHEERAN;BAD HABITS;ATLANTIC RECORDS / WEA / WARNER MUSIC FRANCE;Singles;Diamant;25/06/2021;09/12/2021;5 mois
SIA;UNSTOPPABLE;MONKEY PUZZLE RECORDS / RCA RECORDS / SONY MUSIC ENTERTAINMENT;Singles;Diamant;21/01/2016;02/12/2021;5 ans 11 mois
MALUMA;CORAZÓN;SONY MUSIC ENTERTAINMENT / SONY MUSIC ENTERTAINMENT / SONY MUSIC LATIN;Single;Or;03/11/2017;02/12/2021;4 ans 1 mois
POP SMOKE;DIOR;ISLAND DEF JAM / UNIVERSAL MUSIC FRANCE;Singles;Diamant;26/07/2019;02/12/2021;2 ans 4 mois
A$AP FERG;PLAIN JANE;SONY MUSIC ENTERTAINMENT / SONY MUSIC ENTERTAINMENT / A$AP WORLDWIDE/POLO GROUNDS MUSIC/RCA RECORDS;Single;Or;04/08/2017;02/12/2021;4 ans 4 mois
NAPS;A L'INSTINCT;OK MANY INDUSTRIE / 13ÈME ART MUSIC / BELIEVE;Albums;Double Platine;09/03/2018;02/12/2021;3 ans 9 mois
TSEW THE KID;DIAVOLANA;PANENKA MUSIC / WAGRAM;Albums;Or;13/11/2019;02/12/2021;2 ans 1 mois
LE CLASSICO ORGANISÉ;LOI DE LA CALLE;RIEN 100 RIEN	 / BELIEVE;Singles;Or;22/10/2021;02/12/2021;1 mois
LOUANE;JOIE DE VIVRE;ISLAND DEF JAM / UNIVERSAL MUSIC FRANCE;Albums;Platine;23/10/2020;02/12/2021;1 an 1 mois
BIGFLO & OLI;PROMESSES;UNIVERSAL MUSIC FRANCE / POLYDOR / POLYDOR;Single;Or;18/07/2019;02/12/2021;2 ans 4 mois
VIANNEY;N'ATTENDONS PAS;TOT OU TARD / BELIEVE;Albums;Triple Platine;30/10/2020;02/12/2021;1 an 1 mois
AMEL BENT;37653;UNIVERSAL MUSIC FRANCE / CAPITOL MUSIC FRANCE / VVS ONE /INDIFFERENCE /CAPITOL;Single;Diamant;29/10/2020;02/12/2021;1 an 1 mois
MICKAEL MIRO;L'HORLOGE TOURNE;UMSM / POLYDOR / UNIVERSAL MUSIC FRANCE;Singles;Platine;30/07/2010;02/12/2021;11 ans 6 mois
TAYC;NYXIA. TOME III;H24	/ ISLAND DEF JAM / BENDO / UNIVERSAL MUSIC FRANCE;Albums;Platine;13/12/2019;02/12/2021;2 ans
DAMSO;SMOG;CAPITOL	/ UNIVERSAL MUSIC FRANCE;Singles;Diamant;14/06/2018;01/12/2021;3 ans 6 mois
RILÈS;THANK GOD;CAPITOL MUSIC FRANCE / UNIVERSAL MUSIC FRANCE;Singles;Diamant;14/06/2019;25/11/2021;2 ans 5 mois
47TER;ON AVAIT DIT;LABEL ENTRECÔTE / SONY MUSIC ENTERTAINMENT;Singles;Platine;25/10/2019;11/11/2021;2 ans
