artist_snep,lastfm_name,mbid,listeners,playcount,tags,lastfm_url
ADAMO,Salvatore Adamo,,95362.0,772257.0,french|chanson francaise|male vocalists|chanson|60s,https://www.last.fm/music/Salvatore+Adamo
ADELE,Adele,cc2c9c3c-b7bc-4b8b-84d8-4fbd8779e493,5646327.0,320332434.0,soul|female vocalists|british|singer-songwriter|indie,https://www.last.fm/music/Adele
ADEN FOYER,Aden Foyer,ea74a3ed-1d9f-46a3-a079-0c890f685d4a,76612.0,984699.0,pop,https://www.last.fm/music/Aden+Foyer
ADIEMUS,Adiemus,4dbeae7a-6906-4d85-95df-2b51b4a5d113,328664.0,3437769.0,new age|ambient|choral|world|Classical,https://www.last.fm/music/Adiemus
ADMIRAL T,Admiral T,a19287e1-b752-4470-9969-278d31fe4ea3,20425.0,216456.0,dancehall|reggae|ragga|france|guadeloupe,https://www.last.fm/music/Admiral+T
ADRIANO CELENTANO,Adriano Celentano,d2b50525-1111-4906-aab6-4553f035f679,428027.0,6095434.0,italian|pop|rock|italian pop|italiano,https://www.last.fm/music/Adriano+Celentano
ADRIEL FAVELA,Adriel Favela,f841317c-b0c2-4b2e-9daf-cd6fdc82f2b8,57479.0,1014608.0,REGIONAL MEXICANO|mexico|sinaloa|corridos|Corridos tumbados,https://www.last.fm/music/Adriel+Favela
ADÈLE CASTILLON,Adèle Castillon,d87c77e3-3512-41ed-b241-6387d4a6ae4e,113748.0,2087091.0,french|indie|indie pop|80s|synthpop,https://www.last.fm/music/Ad%C3%A8le+Castillon
ADÉ,Adé,b5b1dbe8-02e8-4b10-a2b1-295782e3d1ef,64538.0,688262.0,french|female vocalists|pop|rap|indie pop,https://www.last.fm/music/Ad%C3%A9
AEROSMITH,Aerosmith,3d2b98e5-556f-4451-a3ff-c50ea18d57cb,4744494.0,131861048.0,hard rock|classic rock|rock|80s|70s,https://www.last.fm/music/Aerosmith
AFRICAN CONNECTION,African Connection,0351e17b-258d-4004-b252-5a301bf9a4b2,1378.0,6919.0,pop|france|francais,https://www.last.fm/music/African+Connection
AFRO B,Afro B,75ddd2e6-8e48-4385-b5e2-625626c8e505,132272.0,1016119.0,afrobeats|UK|british|london|england,https://www.last.fm/music/Afro+B
AFROJACK,Afrojack,a3ee920f-4e7f-4993-8aca-4b8538cfaa4a,963945.0,10863772.0,House|electro house|Progressive House|electronic|electro,https://www.last.fm/music/Afrojack
AFROMAN,Afroman,8c332797-2784-45a7-9b5c-3b86f07a03de,1015526.0,9032697.0,rap|Hip-Hop|reggae|comedy|hip hop,https://www.last.fm/music/Afroman
AGE TENDRE ET TETE DE BOIS,,,,,,
AGNES JAOUI,Agnès Jaoui,b8e57c26-57e0-42ed-b223-86d56c430c03,5972.0,58237.0,latin|World Music|Boris Vian|spotify|Play More,https://www.last.fm/music/Agn%C3%A8s+Jaoui
AGNES OBEL,Agnes Obel,e3c4c4af-f83b-4168-84cb-898009dd0447,975868.0,27981559.0,folk|singer-songwriter|female vocalists|danish|indie,https://www.last.fm/music/Agnes+Obel
AHA,Aha,719066cd-07e2-473f-91db-7652b272f260,78847.0,587080.0,swedish|rock|80s|synth pop|svenskt,https://www.last.fm/music/Aha
AIME SIMONE,Aime Simone,7dfae155-08e0-4d6b-b092-4a6c5e95a725,64938.0,616162.0,france|french|frankreich|post pop,https://www.last.fm/music/Aime+Simone
AIR,Air,14b22b4b-06d5-4b82-8284-29d29b58945f,3242609.0,137983995.0,electronic|chillout|ambient|french|electronica,https://www.last.fm/music/Air
AJR,AJR,2eb55bd9-cfbf-44fd-a5da-92dd825284c7,1241806.0,55432480.0,indie pop|pop|indie|indie rock|american,https://www.last.fm/music/AJR
AKHENATON,Akhenaton,55808e24-5150-4abd-b86b-7c3d7a080da3,80524.0,1259445.0,Hip-Hop|rap|french rap|french|rap francais,https://www.last.fm/music/Akhenaton
AKIL,Akil,8b6d2740-f901-49ac-9fbb-c99edbdc4048,5144.0,19413.0,All|world|arabic|rai,https://www.last.fm/music/Akil
AKON,Akon,1138a764-2212-4d0a-b02d-0dc14df91e08,3764420.0,62563857.0,rnb|Hip-Hop|rap|pop|hip hop,https://www.last.fm/music/Akon
AL JARREAU,Al Jarreau,3e54ba8b-f4cc-4192-9813-890d570e2b7a,411239.0,4298096.0,jazz|soul|Smooth Jazz|vocal jazz|funk,https://www.last.fm/music/Al+Jarreau
ALABINA,Alabina,099997a3-0cb5-4f0e-9587-d270948b2bb9,60661.0,405346.0,arabic|Gypsy|world|latin|Middle Eastern,https://www.last.fm/music/Alabina
ALAIN BASHUNG,Alain Bashung,d31e78a3-4fd8-4b10-9c49-0ee8d4dfd61e,180653.0,3876579.0,french|chanson francaise|rock|chanson|rock francais,https://www.last.fm/music/Alain+Bashung
ALAIN CHAMFORT,Alain Chamfort,5d908002-b164-4dce-9930-f740b165b7fe,56967.0,545175.0,chanson francaise|french|80s|chanson|pop,https://www.last.fm/music/Alain+Chamfort
ALAIN SOUCHON,Alain Souchon,69737ebe-836c-40dc-a938-7e85688426ff,198327.0,2736422.0,chanson francaise|french|pop|chanson|france,https://www.last.fm/music/Alain+Souchon
ALAN PARSONS,Alan Parsons,9774cfd1-8862-42bd-919e-156c31f079b4,103911.0,1427963.0,Progressive rock|rock|electronic|art rock|classic rock,https://www.last.fm/music/Alan+Parsons
ALAN WALKER,Alan Walker,71d524e4-2ae2-4a3e-baa0-0c021925db7a,1810602.0,48746134.0,electronic|House|EDM|dance|norwegian,https://www.last.fm/music/Alan+Walker
ALANIS MORISSETTE,Alanis Morissette,4bdcee62-4902-4773-8cd1-e252e2e31225,2838049.0,81567723.0,female vocalists|rock|alternative|singer-songwriter|pop,https://www.last.fm/music/Alanis+Morissette
ALDEBERT,Aldebert,21f0c4f0-e8b6-4748-8df8-9789ea5e3acc,58589.0,1300670.0,french|chanson francaise|Need to Rate|nouvelle scene francaise|chanson,https://www.last.fm/music/Aldebert
ALEC BENJAMIN,Alec Benjamin,21a14ee3-cede-420a-9d6d-a33517d2f952,1385358.0,54407641.0,pop|indie pop|american|indie|male vocalists,https://www.last.fm/music/Alec+Benjamin
ALEKH KUMAR PARIDA,Alekh Kumar Parida,,64.0,167.0,,https://www.last.fm/music/Alekh+Kumar+Parida
ALESSIA CARA,Alessia Cara,97e69730-3791-423b-9770-287261588854,1770243.0,37669919.0,pop|soul|rnb|Canadian|female vocalists,https://www.last.fm/music/Alessia+Cara
ALEX AIONO,Alex Aiono,881cd10c-a0e1-4975-97d3-374d5195c31e,101310.0,728358.0,pop|gospel|male vocalists|Singer/Songwriter|United States,https://www.last.fm/music/Alex+Aiono
ALEX BEAUPAIN,Alex Beaupain,9362e158-a7a9-4db2-aef9-0010def4e0f9,41765.0,1084630.0,french|chanson|Soundtrack|chanson francaise|musical,https://www.last.fm/music/Alex+Beaupain
ALEX CLARE,Alex Clare,e8c8a3c3-29b6-421e-b977-fb6796231d41,777637.0,11010243.0,dubstep|electronic|soul|british|pop rock,https://www.last.fm/music/Alex+Clare
ALEX SENSATION,Alex Sensation,55393d51-d45a-444a-bbca-52e7265e1729,107187.0,713546.0,Colombia|cubaton|Latin Urban,https://www.last.fm/music/Alex+Sensation
ALEX WARREN,Alex Warren,609a2ea3-f446-4e31-8eef-9f7591afb55a,1002864.0,30725994.0,pop|folk|singer-songwriter|indie|indie folk,https://www.last.fm/music/Alex+Warren
ALEXIA,Alexia,78af8512-afb2-4aa2-b6a2-8cccf1fb2685,167236.0,1248009.0,eurodance|pop|dance|female vocalists|90s,https://www.last.fm/music/Alexia
ALI GATIE,Ali Gatie,c5d8019c-fe79-4968-9329-f7af6cdc26f3,588398.0,8321392.0,rnb|Canadian|soul|pop|iraqi,https://www.last.fm/music/Ali+Gatie
ALIANCE ETHNIK,Alliance Ethnik,8bc9464e-5967-477e-a9c3-ad5639d24517,51787.0,469966.0,Hip-Hop|funk|french|rap|90s,https://www.last.fm/music/Alliance+Ethnik
ALICE DEEJAY,Alice Deejay,,1153469.0,9600085.0,dance|trance|electronic|techno|dutch,https://www.last.fm/music/Alice+Deejay
ALICE MERTON,Alice Merton,7292ba91-0465-4679-a697-6891570ae06c,441958.0,5794920.0,pop|indie|indie pop|female vocalists|german,https://www.last.fm/music/Alice+Merton
ALICIA KEYS,Alicia Keys,8ef1df30-ae4f-4dbd-9351-1a32b208a01e,4233571.0,102968170.0,soul|rnb|female vocalists|pop|singer-songwriter,https://www.last.fm/music/Alicia+Keys
ALIDA,Alida,060dba2d-5633-4500-a451-c42867f43e9d,31480.0,152572.0,pop|soul|female vocalists|Norway|r&b,https://www.last.fm/music/Alida
ALIOCHA SCHNEIDER,Aliocha Schneider,,35541.0,405547.0,french|france|ma vie de roadie,https://www.last.fm/music/Aliocha+Schneider
ALIZEE,Alizée,a344d1d3-bc5e-4a59-95f1-814999d009ac,400943.0,8494667.0,french|pop|female vocalists|french pop|electronic,https://www.last.fm/music/Aliz%C3%A9e
ALL SAINTS,All Saints,a371601f-c184-4683-806d-2eb35e88f0d7,856546.0,9799281.0,pop|female vocalists|british|90s|britpop,https://www.last.fm/music/All+Saints
ALLAN THEO,Allan Theo,ee65d6ea-16d5-4eef-8e2c-f04a044d7ce7,1559.0,7805.0,male|french|boys band|youtube|mymajorcompany,https://www.last.fm/music/Allan+Theo
ALLIAGE,Alliage,eca35b52-588e-47b0-a439-87fba2f606a6,2207.0,16425.0,french|pop|Chanson Française|french pop,https://www.last.fm/music/Alliage
ALLIANCE ETHNIK,Alliance Ethnik,8bc9464e-5967-477e-a9c3-ad5639d24517,51787.0,469966.0,Hip-Hop|funk|french|rap|90s,https://www.last.fm/music/Alliance+Ethnik
ALMA,Alma,01bbc121-de56-4408-ab67-c45593147e4c,316469.0,3973730.0,pop|finnish|french|france|Eurovision,https://www.last.fm/music/Alma
ALOE BLACC,Aloe Blacc,4bf89e02-6c30-4603-9f6a-52619b1bea1a,1242045.0,14691552.0,soul|Hip-Hop|Neo-Soul|Stones throw|hip hop,https://www.last.fm/music/Aloe+Blacc
ALOK,Alok,2179a878-6762-4797-a18e-b4276a4c6d60,1280796.0,26116754.0,electronic|dance|EDM|brazilian|House,https://www.last.fm/music/Alok
ALONZO,Alonzo,9ff87295-bdfc-46fc-b605-456cc39d84ca,94091.0,1661266.0,Hip-Hop|french hip-hop|french|hip hop|rap,https://www.last.fm/music/Alonzo
ALPHA BLONDY,Alpha Blondy,88502cc3-20e7-4c5d-b583-ea84ed263db4,358812.0,3950893.0,reggae|roots reggae|african|world|africa,https://www.last.fm/music/Alpha+Blondy
ALPHA WANN,Alpha Wann,7bfb81ef-e6aa-4716-a9a5-fa5f1b419680,78931.0,6557078.0,french|rap|Hip-Hop|hip hop|underground rap,https://www.last.fm/music/Alpha+Wann
ALPHAVILLE,Alphaville,31aa6f87-8d00-4ae9-a5cc-6d7eeea109d2,1833960.0,23897696.0,synthpop|new wave|80s|pop|synth pop,https://www.last.fm/music/Alphaville
