annee_sortie,mois_sortie,log_jours_obtention,n_artistes,is_collab,artist_total_certs,artist_max_cert_level,artist_collab_rate,label_freq,cert_level,cat_Singles,cat_Albums,cat_Videos,cat_Compilation
2024,11,6.236369590203704,1,0,63,6,0.09523809523809523,0.0026174747600648134,0,1,0,0,0
2025,4,5.908082938168931,1,0,37,5,0.24324324324324326,0.0034899663467530847,0,1,0,0,0
2025,7,5.616771097666572,1,0,1,0,0.0,0.0001246416552411816,0,1,0,0,0
2025,12,4.718498871295094,2,1,20,5,0.55,0.0001246416552411816,0,1,0,0,0
2020,5,7.673223121121708,2,1,3,0,0.3333333333333333,0.0002492833104823632,0,1,0,0,0
2024,10,6.2766434893416445,1,0,37,5,0.24324324324324326,0.0034899663467530847,0,1,0,0,0
2016,12,8.129764445794171,1,0,3,2,0.0,0.0001246416552411816,0,1,0,0,0
2022,11,7.113142108707088,1,0,1,0,0.0,0.0001246416552411816,0,1,0,0,0
2025,7,5.583496308781699,1,0,2,2,0.5,0.0002492833104823632,0,1,0,0,0
2025,11,4.997212273764115,2,1,33,6,0.2727272727272727,0.0007478499314470896,0,1,0,0,0
2025,4,5.82600010738045,1,0,1,0,0.0,0.00311604138102954,0,1,0,0,0
2024,1,6.690842277418564,1,0,42,5,0.19047619047619047,0.005608874485853172,0,1,0,0,0
2022,6,7.231287004327616,1,0,3,5,0.3333333333333333,0.000997133241929453,2,1,0,0,0
2026,1,4.343805421853684,2,1,20,5,0.55,0.0001246416552411816,2,1,0,0,0
2019,2,7.86480400332846,1,0,1,2,0.0,0.0006232082762059081,2,1,0,0,0
2025,4,5.8805329864007,2,1,7,2,0.5714285714285714,0.01246416552411816,2,1,0,0,0
2020,10,7.605392364814935,1,0,1,2,0.0,0.0001246416552411816,2,1,0,0,0
2022,2,7.316548177182976,1,0,9,5,0.1111111111111111,0.000997133241929453,2,1,0,0,0
2023,12,6.733401891837359,3,1,4,2,0.25,0.0008724915866882712,2,1,0,0,0
2025,9,5.3471075307174685,1,0,5,5,0.0,0.008724915866882713,2,1,0,0,0
2025,5,5.730099782973574,1,0,5,5,0.0,0.0006232082762059081,5,1,0,0,0
2016,10,8.144969417087875,1,0,112,5,0.125,0.010345257385018073,5,1,0,0,0
2017,5,8.07775756373692,1,0,1,0,0.0,0.0001246416552411816,0,1,0,0,0
2021,1,7.549609165154532,1,0,5,2,0.4,0.0004985666209647265,0,1,0,0,0
2021,5,7.48324441607385,1,0,1,0,0.0,0.035398230088495575,0,1,0,0,0
2026,1,4.343805421853684,1,0,9,5,0.1111111111111111,0.005982799451576717,0,1,0,0,0
2023,7,6.880384082186005,1,0,4,0,0.0,0.0001246416552411816,0,1,0,0,0
2017,3,8.10076824307173,1,0,48,5,0.020833333333333332,0.0026174747600648134,0,1,0,0,0
2023,3,7.02108396428914,1,0,48,5,0.020833333333333332,0.0026174747600648134,0,1,0,0,0
2023,2,7.023758954738443,1,0,2,2,0.0,0.000997133241929453,0,1,0,0,0
2018,9,7.914617709040679,1,0,2,0,0.0,0.010594540695500436,0,1,0,0,0
2017,12,8.016647877057803,1,0,1,0,0.0,0.005982799451576717,0,1,0,0,0
2017,2,8.111928063310739,1,0,112,5,0.125,0.010345257385018073,0,1,0,0,0
2025,6,5.634789603169249,2,1,1,0,1.0,0.0001246416552411816,0,1,0,0,0
2025,6,5.60947179518496,1,0,1,0,0.0,0.035398230088495575,0,1,0,0,0
2025,9,5.1647859739235145,1,0,3,0,0.0,0.029664713947401222,0,1,0,0,0
2025,12,4.672828834461906,1,0,1,0,0.0,0.0001246416552411816,0,1,0,0,0
2025,12,4.454347296253507,1,0,1,0,0.0,0.0001246416552411816,0,1,0,0,0
2020,1,7.717796211013582,1,0,19,5,0.05263157894736842,0.0017449831733765424,2,1,0,0,0
2018,4,7.9658927350845286,1,0,1,2,0.0,0.0001246416552411816,2,1,0,0,0
2021,6,7.4673710669175595,1,0,5,2,0.0,0.0034899663467530847,2,1,0,0,0
2024,4,6.54534966033442,1,0,1,2,0.0,0.0001246416552411816,2,1,0,0,0
2025,2,5.971261839790462,2,1,14,5,0.35714285714285715,0.0003739249657235448,2,1,0,0,0
2025,10,5.1298987149230735,3,1,1,2,1.0,0.000997133241929453,2,1,0,0,0
2025,11,4.727387818712341,2,1,1,2,1.0,0.0001246416552411816,2,1,0,0,0
2019,12,7.7406644019172415,1,0,10,5,0.0,0.0017449831733765424,5,1,0,0,0
2021,5,7.472500744737558,1,0,25,5,0.32,0.0021189081391000874,5,1,0,0,0
2021,5,7.475905969367397,1,0,9,5,0.0,0.003988532967717812,5,1,0,0,0
2022,6,7.234177179749849,1,0,37,5,0.24324324324324326,0.0034899663467530847,5,1,0,0,0
2024,7,6.434546518787453,3,1,1,5,1.0,0.0007478499314470896,5,1,0,0,0
2021,2,7.5256399750415355,1,0,7,5,0.14285714285714285,0.0012464165524118161,2,0,1,0,0
2020,11,7.580699752224563,1,0,8,5,0.125,0.029664713947401222,3,0,1,0,0
2021,11,7.366445148327599,1,0,10,5,0.0,0.003988532967717812,4,0,1,0,0
2025,4,5.8377304471659395,1,0,37,5,0.24324324324324326,0.0034899663467530847,4,0,1,0,0
2018,3,7.978996370854115,1,0,63,6,0.09523809523809523,0.0013710582076529975,0,1,0,0,0
2017,10,8.03268487596762,1,0,3,0,0.0,0.0001246416552411816,0,1,0,0,0
2021,6,7.45182223652793,1,0,3,2,0.6666666666666666,0.01246416552411816,0,1,0,0,0
2023,5,6.9440872082295275,2,1,2,5,1.0,0.0002492833104823632,0,1,0,0,0
2023,10,6.7650389767805414,1,0,19,5,0.05263157894736842,0.0017449831733765424,0,1,0,0,0
2024,1,6.679599185844383,1,0,1,0,0.0,0.006107441106817898,0,1,0,0,0
2024,10,6.249975242259483,1,0,3,2,0.3333333333333333,0.01246416552411816,0,1,0,0,0
2025,4,5.817111159963204,1,0,37,5,0.24324324324324326,0.0034899663467530847,0,1,0,0,0
2025,6,5.583496308781699,3,1,19,5,0.42105263157894735,0.0008724915866882712,0,1,0,0,0
2025,6,5.564520407322694,1,0,48,5,0.020833333333333332,0.0026174747600648134,2,1,0,0,0
2025,9,5.081404364984463,2,1,13,2,0.15384615384615385,0.0001246416552411816,2,1,0,0,0
2017,3,8.098642843759418,1,0,22,6,0.13636363636363635,0.0034899663467530847,5,1,0,0,0
2019,6,7.8009820712577405,2,1,22,6,0.13636363636363635,0.0034899663467530847,5,1,0,0,0
2020,11,7.566828479208331,1,0,25,5,0.32,0.0021189081391000874,5,1,0,0,0
2024,7,6.39024066706535,2,1,26,5,0.23076923076923078,0.0006232082762059081,5,1,0,0,0
2024,10,6.208590026096629,1,0,3,5,0.0,0.00461174124392372,5,1,0,0,0
2020,5,7.653494909661253,1,0,6,2,0.5,0.01171631559267107,0,0,1,0,0
2022,6,7.208600337960199,1,0,2,0,0.5,0.001869624828617724,0,0,1,0,0
2022,6,7.213768308118642,1,0,23,5,0.391304347826087,0.035398230088495575,0,0,1,0,0
2025,2,5.973809611869261,1,0,19,5,0.3157894736842105,0.0012464165524118161,0,0,1,0,0
2026,2,1.9459101490553132,1,0,29,5,0.0,0.07291536831609123,0,0,1,0,0
2017,3,8.09009578318096,1,0,4,2,0.0,0.035398230088495575,2,0,1,0,0
2024,10,6.208590026096629,2,1,87,5,0.25287356321839083,0.0004985666209647265,3,0,1,0,0
2019,6,7.80954132465341,1,0,2,5,0.0,0.035398230088495575,0,1,0,0,0
2017,5,8.079308192051961,1,0,40,5,0.125,0.01171631559267107,0,1,0,0,0
2019,4,7.832014180505469,1,0,15,5,0.13333333333333333,0.0003739249657235448,0,1,0,0,0
2009,1,8.74321260347591,1,0,2,5,0.5,0.0001246416552411816,0,1,0,0,0
2014,2,8.39049553837028,1,0,54,5,0.14814814814814814,0.004861024554406083,0,1,0,0,0
2019,10,7.748028524432376,1,0,7,0,0.14285714285714285,0.035398230088495575,0,1,0,0,0
2019,5,7.81035268372429,1,0,2,5,0.0,0.001869624828617724,0,1,0,0,0
2020,8,7.60887062919126,1,0,7,5,0.0,0.006855291038264988,0,1,0,0,0
2019,8,7.771910256435763,1,0,10,5,0.0,0.013710582076529976,0,1,0,0,0
2021,5,7.472500744737558,2,1,7,2,0.42857142857142855,0.005608874485853172,0,1,0,0,0
2021,6,7.44716835960004,1,0,37,5,0.24324324324324326,0.0034899663467530847,0,1,0,0,0
2021,9,7.392647520721623,2,1,20,5,0.4,0.0034899663467530847,0,1,0,0,0
2022,1,7.312553498102598,2,1,4,2,0.75,0.0002492833104823632,0,1,0,0,0
2023,5,6.930494765951626,1,0,1,0,0.0,0.0001246416552411816,0,1,0,0,0
2023,5,6.930494765951626,1,0,1,0,0.0,0.0001246416552411816,0,1,0,0,0
2024,2,6.60934924316738,2,1,33,5,0.42424242424242425,0.01246416552411816,0,1,0,0,0
2025,10,4.787491742782046,2,1,5,2,0.4,0.035398230088495575,0,1,0,0,0
2025,11,4.430816798843313,1,0,87,5,0.25287356321839083,0.019693381528106693,0,1,0,0,0
2025,10,4.941642422609304,1,0,22,5,0.045454545454545456,0.035398230088495575,0,1,0,0,0
2019,9,7.755767170102998,1,0,1,2,0.0,0.0001246416552411816,2,1,0,0,0
2020,2,7.695757990554761,1,0,19,5,0.05263157894736842,0.0017449831733765424,2,1,0,0,0
2018,4,7.964503363551548,1,0,5,2,0.0,0.006855291038264988,2,1,0,0,0
2020,4,7.67275789664251,1,0,2,5,0.0,0.035398230088495575,2,1,0,0,0
2020,11,7.560080465021827,1,0,1,2,0.0,0.02492833104823632,2,1,0,0,0
2023,1,7.033506484287697,1,0,1,2,0.0,0.0001246416552411816,2,1,0,0,0
2024,4,6.535241271013659,1,0,1,0,0.0,0.0001246416552411816,0,1,0,0,0
2025,2,5.8998973535824915,1,0,1,2,0.0,0.0008724915866882712,2,1,0,0,0
2025,9,5.0369526024136295,1,0,2,5,0.5,0.0002492833104823632,2,1,0,0,0
2025,9,5.0106352940962555,1,0,1,2,0.0,0.0001246416552411816,2,1,0,0,0
2025,10,4.948759890378168,1,0,1,2,0.0,0.000997133241929453,2,1,0,0,0
2025,4,5.752572638825633,3,1,37,5,0.24324324324324326,0.0034899663467530847,5,1,0,0,0
2025,4,5.749392985908253,2,1,14,5,0.35714285714285715,0.0003739249657235448,5,1,0,0,0
2017,6,8.064007347096661,1,0,3,5,0.0,0.0003739249657235448,3,0,1,0,0
2025,1,6.018593214496234,1,0,11,5,0.2727272727272727,0.0012464165524118161,3,0,1,0,0
2017,5,8.068402958569699,1,0,17,5,0.058823529411764705,0.0024928331048236323,2,0,1,0,0
2016,9,8.142354276849835,1,0,2,2,0.0,0.0001246416552411816,2,0,1,0,0
2022,2,7.293017679772782,1,0,3,2,0.0,0.0003739249657235448,2,0,1,0,0
2022,9,7.133295954896068,1,0,6,2,0.0,0.035398230088495575,2,0,1,0,0
2024,9,6.236369590203704,1,0,3,2,0.0,0.005982799451576717,2,0,1,0,0
2016,9,8.144388865547622,1,0,50,7,0.0,0.004487099588682538,7,0,1,0,0
2023,9,6.774223886357614,1,0,1,0,0.0,0.0026174747600648134,0,0,1,0,0
2025,2,5.934894195619588,1,0,17,5,0.11764705882352941,0.0008724915866882712,0,0,1,0,0
2016,11,8.125926802707886,1,0,2,0,0.0,0.0036146080019942664,0,1,0,0,0
2019,8,7.768956044538332,1,0,22,5,0.045454545454545456,0.035398230088495575,0,1,0,0,0
2019,6,7.798112628829788,2,1,112,5,0.125,0.010345257385018073,0,1,0,0,0
