annee_sortie,mois_sortie,log_jours_obtention,n_artistes,is_collab,artist_total_certs,artist_max_cert_level,artist_collab_rate,label_freq,cat_Singles,cat_Albums,cat_Videos,cat_Compilation,cert_level
0.15789473684210525,-0.6666666666666666,0.9136894365384276,0.0,0.0,3.0555555555555554,0.3333333333333333,0.619047619047619,-0.28099173553719003,1.0,0.0,0.0,0.0,0
0.10526315789473684,0.5,0.9386189949727132,0.0,0.0,-0.2777777777777778,-1.6666666666666667,0.0,-0.3636363636363636,1.0,0.0,0.0,0.0,0
0.3157894736842105,-0.16666666666666666,0.6689029899993769,0.0,0.0,-0.2777777777777778,-1.0,4.333333333333333,0.45454545454545453,1.0,0.0,0.0,0.0,0
0.42105263157894735,-0.3333333333333333,0.43314283928669295,1.0,1.0,-0.3333333333333333,0.0,6.5,-0.35537190082644626,1.0,0.0,0.0,0.0,0
0.42105263157894735,0.5,0.3500041238572668,0.0,0.0,0.6111111111111112,0.0,0.3421052631578947,-0.256198347107438,1.0,0.0,0.0,0.0,0
0.47368421052631576,-1.0,0.3103312691884129,0.0,0.0,-0.3888888888888889,-1.6666666666666667,0.0,0.03305785123966942,1.0,0.0,0.0,0.0,0
0.47368421052631576,0.5,0.11084098381494562,0.0,0.0,-0.2777777777777778,-1.0,2.1666666666666665,0.45454545454545453,1.0,0.0,0.0,0.0,0
0.5263157894736842,-0.5,-0.09015381778913244,0.0,0.0,1.6111111111111112,0.0,1.5810810810810811,-0.14049586776859502,1.0,0.0,0.0,0.0,0
0.5263157894736842,-0.16666666666666666,-0.1986298327449164,2.0,1.0,0.6111111111111112,0.0,2.7368421052631575,-0.31404958677685946,1.0,0.0,0.0,0.0,0
0.5263157894736842,-0.16666666666666666,-0.20744104555975273,0.0,0.0,2.2222222222222223,0.0,0.13541666666666666,-0.1983471074380165,1.0,0.0,0.0,0.0,2
0.5263157894736842,0.3333333333333333,-0.4317696906309699,1.0,1.0,0.2777777777777778,-1.0,1.0,-0.3636363636363636,1.0,0.0,0.0,0.0,2
0.10526315789473684,-0.6666666666666666,0.9692457186782076,0.0,0.0,0.7777777777777778,0.3333333333333333,0.8863636363636362,-0.14049586776859502,1.0,0.0,0.0,0.0,5
0.21052631578947367,-0.16666666666666666,0.8310308139050713,1.0,1.0,0.7777777777777778,0.3333333333333333,0.8863636363636362,-0.14049586776859502,1.0,0.0,0.0,0.0,5
0.2631578947368421,0.6666666666666666,0.7223046416405865,0.0,0.0,0.9444444444444444,0.0,2.08,-0.2314049586776859,1.0,0.0,0.0,0.0,5
0.47368421052631576,0.0,0.17597140785292403,1.0,1.0,1.0,0.0,1.5,-0.33057851239669417,1.0,0.0,0.0,0.0,5
0.47368421052631576,0.5,0.09162429744108935,0.0,0.0,-0.2777777777777778,0.0,0.0,-0.06611570247933879,1.0,0.0,0.0,0.0,5
0.2631578947368421,-0.3333333333333333,0.7625470704006972,0.0,0.0,-0.1111111111111111,-1.0,3.25,0.4049586776859504,0.0,1.0,0.0,0.0,0
0.3684210526315789,-0.16666666666666666,0.5559660676540219,0.0,0.0,-0.3333333333333333,-1.6666666666666667,3.25,-0.2479338842975206,0.0,1.0,0.0,0.0,0
0.3684210526315789,-0.16666666666666666,0.5583657473206314,0.0,0.0,0.8333333333333334,0.0,2.543478260869565,1.975206611570248,0.0,1.0,0.0,0.0,0
0.5263157894736842,-0.8333333333333334,-0.017392931541780076,0.0,0.0,0.6111111111111112,0.0,2.052631578947368,-0.2892561983471074,0.0,1.0,0.0,0.0,0
0.5789473684210527,-0.8333333333333334,-1.8876956120384523,0.0,0.0,1.1666666666666667,0.0,0.0,4.462809917355371,0.0,1.0,0.0,0.0,0
0.10526315789473684,-0.6666666666666666,0.9652770023639505,0.0,0.0,-0.2222222222222222,-1.0,0.0,1.975206611570248,0.0,1.0,0.0,0.0,2
0.47368421052631576,0.5,0.09162429744108935,1.0,1.0,4.388888888888889,0.0,1.6436781609195403,-0.33884297520661155,0.0,1.0,0.0,0.0,3
0.21052631578947367,-0.16666666666666666,0.835005191795275,0.0,0.0,-0.3333333333333333,0.0,0.0,1.975206611570248,1.0,0.0,0.0,0.0,0
0.10526315789473684,-0.3333333333333333,0.9602679248557018,0.0,0.0,1.7777777777777777,0.0,0.8125,0.4049586776859504,1.0,0.0,0.0,0.0,0
0.21052631578947367,-0.5,0.84544016985929,0.0,0.0,0.3888888888888889,0.0,0.8666666666666666,-0.3471074380165289,1.0,0.0,0.0,0.0,0
-0.3157894736842105,-1.0,1.2685432956149083,0.0,0.0,-0.3333333333333333,0.0,3.25,-0.3636363636363636,1.0,0.0,0.0,0.0,0
-0.05263157894736842,-0.8333333333333334,1.1047637180921084,0.0,0.0,2.5555555555555554,0.0,0.9629629629629629,-0.04958677685950408,1.0,0.0,0.0,0.0,0
0.21052631578947367,0.5,0.8064425237842214,0.0,0.0,-0.05555555555555555,-1.6666666666666667,0.9285714285714285,1.975206611570248,1.0,0.0,0.0,0.0,0
